Date,Aluminium [€/t] (Finanzen.net),Blei [€/t] (Finanzen.net),"Zink [€/t] (Finanzen,net)",Nickel [€/t] (Finanzen.net),Kupfer [€/t],Eisenerz [€/t] (Finanzen.net),Strom [€/MWh] (Finanzen.net),Arbeitskosten Deutschland [€/h] (Eurostat),Platinum [€/g] (Heraeus),Gold [€/g] (Heraeus),Silber [€/kg] (Heraeus),Palladium [€/g] (Heraeus),Rhodium [€/g] (Heraeus),Iridium [€/g] (Heraeus),Ruthenium [€/g] (Heraeus),Erdgas [€/MWh] (Finanzen.net),Stahl HRB [€/t] (SteelBenchmarker),ABS Granulat [€/kg] (Plasticker),PC Granulat [€/kg] (Plasticker),PBT Granulat [€/kg] (Plasticker),PA 6 Granulat [€/kg] (Plasticker),PA 6.6 Granulat [€/kg] (Plasticker),POM Granulat [€/kg] (Plasticker),PE-HD Granulat [€/kg] (Plasticker),PE-LD [€/kg] (Plasticker),PP [€/kg] (Plasticker),PS [€/kg] (Plasticker), Holz [€/t] (finanzen.net),Messing MS 58 1. V. Stufe [€/kg] (Westmetall),Molybdän [€/kg]
12.03.2021,"1.816,33","1.622,96","2.340,32","13.516,54",7573.22,140.76,66.03,37.2,29.22,53.49,688.17,54.8,456.71,127.76,18.65,0.639387944,,,,,,,,,,,,,6.58,
13.03.2021,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,
14.03.2021,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,
15.03.2021,"1.859,79","1.623,48","2.380,38","13.557,23",7670.86,141.10,66.08,37.2,35.08,49.21,756.46,67.83,708.13,170.78,12.49,0.610058222,,,,,,,,,,,,,6.64,
16.03.2021,"1.850,28","1.632,85","2.344,34","13.541,48",7532.33,141.37,65.11,37.2,35.29,49.54,755.13,71.2,723.52,173.93,12.51,0.630589028,,,,,,,,,,,,,6.54,
17.03.2021,"1.858,96","1.603,05","2.342,71","13.343,63",7533.32,140.38,65.48,37.2,34.87,49.46,755.13,70.77,772.22,180.88,12.96,0.618857139,,,,,,,,,,,,,6.58,
18.03.2021,"1.865,11","1.591,00","2.350,72","13.425,36",7627.76,141.15,66.11,37.2,35.42,49.33,754.19,77.7,799.04,180.65,12.94,0.610058222,,,,,,,,,,,,,6.61,
19.03.2021,"1.896,21","1.604,94","2.333,25","13.493,20",7593.51,140.62,65.36,37.2,34.64,49.79,762.55,74.87,857.51,185.44,12.98,0.624723083,,,,,,,,,,,,,6.59,
20.03.2021,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,
21.03.2021,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,
22.03.2021,"1.903,56","1.634,62","2.396,63","13.761,47",7623.06,140.23,66.61,37.2,34.46,49.54,744.98,74.01,862.67,185.06,12.96,0.633522,759,,,,,,,,,,,,6.64,
23.03.2021,"1.883,04","1.644,66","2.397,16","13.945,40",7608.54,140.93,66.16,37.2,34.49,49.6,734.38,74.82,851.61,178.69,13,0.621790111,,,,,,,,,,,,,6.6,
24.03.2021,"1.911,86","1.645,99","2.382,20","13.659,88",7634.05,141.69,65.95,37.2,34.47,49.72,738.84,74.97,831.02,179.08,13.03,0.624723083,,,,,,,,,,,,,6.62,
25.03.2021,"1.906,28","1.620,01","2.343,80","13.578,56",7459.54,141.91,65.38,37.2,34.03,50.02,732.25,74.91,816.66,179.61,13.07,0.639387944,,,,,,,,,,,,,6.49,
26.03.2021,"1.943,55","1.639,39","2.374,73","13.746,88",7551.41,141.14,66.27,37.2,34.5,50.12,735.27,76.49,771.99,179.99,13.09,0.633522,,,,,,,,,,,,,6.6,
27.03.2021,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,
28.03.2021,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,
29.03.2021,"1.925,48","1.643,37","2.388,71","13.816,54",7598.55,141.88,66.14,37.2,34.81,49.51,723.84,73.11,763.87,180.06,13.1,0.645253889,,,,,,,,,,,,,6.61,
30.03.2021,"1.903,83","1.658,92","2.408,16","13.565,25",7499.68,142.50,66.55,37.2,34.36,48.84,710.4,74.82,766.8,180.75,13.16,0.656985778,,,,,,,,,,,,,6.55,
31.03.2021,"1.887,23","1.668,03","2.383,08","13.724,69",7546.28,142.30,66.92,37.2,34.86,48.97,710.4,75.67,785.16,180.75,13.45,0.654052806,,,,,,,,,,,,,6.58,
01.04.2021,"1.889,59","1.649,19","2.340,71","13.584,92",7443.91,141.70,67.23,37.2,31.51,53.72,773.99,67.26,490.8,83.59,8.56,0.656985778,,2.3,2,1.93,2.13,2.56,1.8,0.96,0.68,0.96,1.16,,6.52,
02.04.2021,,,,,,139.13,,37.2,31.14,51.08,755.55,63.33,621.69,132.62,11.11,0.656985778,,,,,,,,,,,,,,
03.04.2021,,,,,,,,37.2,33.67,48.37,747.29,66.71,831.66,158.35,11.95,,,,,,,,,,,,,,,
04.04.2021,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,
05.04.2021,,,,,,138.73,,37.2,36.43,50.88,779.08,84.13,855.48,187.66,14.31,0.621790111,,,,,,,,,,,,,,
06.04.2021,"1.910,17","1.640,35","2.369,64","13.914,51",7567.32,140.64,68.19,37.2,33.1,52.79,789.18,78.53,639.19,179.52,24.47,0.60712525,,,,,,,,,,,,,6.62,
07.04.2021,,,,,,142.56,68.01,37.2,,,,,,,,0.621790111,,,,,,,,,,,,,6.57,
08.04.2021,"1.912,58","1.652,33","2.372,59","14.084,04",7553.81,143.04,67.41,37.2,30.67,52.23,748.11,75.73,572.88,164.88,23.66,0.618857139,,,,,,,,,,,,,6.59,
09.04.2021,"1.903,31","1.646,21","2.360,01","13.981,00",7560.83,143.20,66.99,37.2,,,,,,,,0.624723083,,,,,,,,,,,,,6.57,
10.04.2021,,,,,,,,37.2,28.53,51.41,668.9,55.73,423.93,148.44,21.6,,,,,,,,,,,,,,,
11.04.2021,,,,,,,,37.2,31.38,52.7,713.33,59.14,446.11,131.54,18.91,,,,,,,,,,,,,,,
12.04.2021,"1.889,87","1.635,40","2.294,89","13.614,50",7470.85,143.55,67.57,37.2,,,,,,,,0.630589028,862,,,,,,,,,,,,6.5,
13.04.2021,"1.918,59","1.639,54","2.304,73","13.533,03",7450.11,143.11,67.53,37.2,34.2,49.86,736.47,76.13,805.66,186.13,13.53,0.642320917,,,,,,,,,,,,,6.51,
14.04.2021,"1.939,41","1.642,41","2.328,17","13.525,02",7520.76,143.07,66.51,37.2,34.11,49.38,733.18,75.79,817.49,188.44,13.79,0.642320917,,,,,,,,,,,,,6.54,
15.04.2021,"1.954,83","1.657,83","2.347,02","13.407,96",7766.93,144.53,67.43,37.2,34.62,49.89,745.25,77.11,823.38,188.2,13.77,0.651119833,,,,,,,,,,,,,6.64,
16.04.2021,"1.934,21","1.696,09","2.371,99","13.692,80",7789.41,145.92,67.97,37.2,34.67,50.46,755.37,78.08,837.23,188.2,13.77,0.656985778,,,,,,,,,,,,,6.73,
17.04.2021,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,
18.04.2021,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,
19.04.2021,"1.945,35","1.682,52","2.361,35","13.347,18",7822.69,145.17,68.14,37.2,34.88,50.07,741.54,79.22,833.04,187.26,13.7,0.668717667,,,,,,,,,,,,,6.79,
20.04.2021,"1.932,95","1.667,44","2.321,17","13.412,82",7807.32,148.34,67.73,37.2,34.56,50.15,745.85,77.97,833.04,187.26,13.7,0.665784694,,,,,,,,,,,,,6.71,
21.04.2021,"1.964,44","1.646,66","2.322,64","13.363,52",7795.04,146.39,68.17,37.2,34.8,50.88,760.37,81.06,834.78,187.66,13.72,0.654052806,,,,,,,,,,,,,6.72,
22.04.2021,"1.966,46","1.678,94","2.334,29","13.322,51",7885.41,146.76,69.41,37.2,34.72,50.6,756.05,80.08,820.98,187.66,13.72,0.671650639,,,,,,,,,,,,,6.75,
23.04.2021,"1.968,79","1.682,86","2.310,20","13.346,56",7888.72,146.24,68.38,37.2,35.42,50.05,741.44,79.89,823.07,186.87,13.67,0.662851722,,,,,,,,,,,,,6.78,
24.04.2021,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,
25.04.2021,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,
26.04.2021,"1.988,66","1.699,49","2.399,76","13.609,96",8073.97,146.93,68.31,37.2,35.32,50.14,748.49,81.39,821.36,186.49,13.64,0.677516583,922,,,,,,,,,,,,6.9,
27.04.2021,"1.981,60","1.696,25","2.389,48","13.989,50",8186.81,148.04,68.87,37.2,35.75,50.2,755.64,81.81,825.48,186.49,14.07,0.695114417,,,,,,,,,,,,,6.99,
28.04.2021,"1.978,72","1.711,95","2.399,00","13.943,84",8108.28,147.45,68.92,37.2,34.9,49.9,744.81,81.87,834.4,186.65,14.24,0.709779278,,,,,,,,,,,,,6.97,
29.04.2021,"1.993,65","1.730,13","2.415,34","14.380,70",8240.87,147.92,69.51,37.2,34.15,49.48,738.37,82.19,844.3,186.1,14.19,0.703913333,,,,,,,,,,,,,7.03,
30.04.2021,"2.012,52","1.761,52","2.410,30","14.542,35",8278.29,149.47,70.13,37.2,34.78,49.72,745.62,83.32,846.05,186.49,14.22,0.715645222,,,,,,,,,,,,,7.02,
01.05.2021,,,,,,,,37.2,30.5,54.01,775.25,66.41,505.1,83.73,8.58,,,2.31,2.2,2.02,2.43,2.77,2.5,1.04,0.78,1.12,1.48,,,
02.05.2021,,,,,,,,37.2,32.15,51.27,769,65.48,620.91,132.46,11.1,,,,,,,,,,,,,,,
03.05.2021,,,,,,153.38,71.13,37.2,32.86,48.35,731.82,67.12,838.65,159.67,12.04,0.721511167,,,,,,,,,,,,,,
04.05.2021,"2.021,68","1.802,26","2.463,48","14.867,44",8291.34,157.92,70.75,37.2,,,,,,,,0.724444139,,,,,,,,,,,,,7.09,
05.05.2021,"2.036,15","1.820,81","2.444,80","14.978,55",8321.74,158.59,70.88,37.2,35.28,50.51,763.25,83.7,844.44,187.66,14.75,0.718578194,,,,,,,,,,,,,7.1,
06.05.2021,"2.062,52","1.804,47","2.420,32","14.872,56",8309.92,163.85,72.52,37.2,,,,,,,,0.71271225,,,,,,,,,,,,,7.09,
07.05.2021,"2.088,44","1.823,34","2.400,43","14.750,30",8517.53,167.99,72.55,37.2,32.29,51.24,772.9,80.1,558.91,173.26,23.66,0.71271225,,,,,,,,,,,,,7.28,
08.05.2021,,,,,,,,37.2,29.72,51.86,735.09,75.61,574.09,165.22,23.71,,,,,,,,,,,,,,,
09.05.2021,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,
10.05.2021,"2.081,84","1.836,95","2.516,18","14.895,11",8840.21,177.62,74.81,37.2,28.73,51.55,668.9,55.44,428.21,148.44,21.6,0.709779278,1053,,,,,,,,,,,,7.44,
11.05.2021,"2.080,34","1.825,60","2.469,20","14.766,88",8664.54,177.19,75.86,37.2,31.17,53.07,718.18,59.73,447.27,131.89,18.97,0.715645222,,,,,,,,,,,,,7.32,
12.05.2021,"2.064,73","1.825,22","2.472,15","14.862,70",8728.11,180.89,77.71,37.2,,,,,,,,0.721511167,,,,,,,,,,,,,7.34,
13.05.2021,"2.029,30","1.751,56","2.392,91","14.220,09",8486.94,175.52,76.91,37.2,,,,,,,,0.721511167,,,,,,,,,,,,,,
14.05.2021,"2.021,24","1.768,97","2.407,48","14.329,59",8407.93,172.97,78.94,37.2,35.03,51.55,776.93,80.81,801.89,186.1,21.72,0.715645222,,,,,,,,,,,,,7.15,
15.05.2021,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,
16.05.2021,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,
17.05.2021,"2.060,60","1.801,50","2.430,70","14.583,45",8439.67,176.90,78.69,37.2,35.15,51.79,786.08,80.58,791.38,185.56,23.11,0.750840889,,,,,,,,,,,,,7.17,
18.05.2021,"2.032,93","1.816,98","2.506,32","14.825,53",8562.08,174.46,76.81,37.2,34.48,51.99,798.9,80.15,781.74,184.58,24.42,0.721511167,,,,,,,,,,,,,7.28,
19.05.2021,"1.993,15","1.808,70","2.438,83","14.522,16",8308.06,174.10,71.51,37.2,34.15,52.55,797.48,79.19,781.74,184.58,24.42,0.71271225,,,,,,,,,,,,,7.07,
20.05.2021,"1.927,68","1.818,12","2.408,32","14.166,22",8246.72,172.64,74.43,37.2,34.16,52.23,783.5,79.49,783.35,184.96,25.91,0.703913333,,,,,,,,,,,,,7.04,
21.05.2021,"1.955,42","1.825,31","2.446,99","13.994,17",8218.04,171.68,74.77,37.2,33.99,52.33,784.28,77.85,755.53,184.8,27.33,0.700980361,,,,,,,,,,,,,7.02,
22.05.2021,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,
23.05.2021,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,
24.05.2021,"1.953,59","1.754,31","2.398,82","13.733,27",8076.41,170.40,74.61,37.2,,,,,,,,0.695114417,1095,,,,,,,,,,,,,
25.05.2021,"1.932,27","1.746,05","2.403,98","13.979,02",8116.53,168.98,75.47,37.2,33.59,52.33,781.53,75.87,648.79,181.12,27.17,0.698047389,,,,,,,,,,,,,6.94,
26.05.2021,"1.971,18","1.784,12","2.446,19","14.076,17",8170.38,169.63,77.01,37.2,33.95,52.99,790.51,76.05,623.28,181.57,25.81,0.715645222,,,,,,,,,,,,,6.98,
27.05.2021,"2.034,36","1.811,39","2.455,62","14.239,21",8227.19,169.23,75.05,37.2,33.46,52.89,784.28,77.64,665.83,179.36,25.89,0.71271225,,,,,,,,,,,,,7.04,
28.05.2021,"2.036,33","1.810,96","2.492,72","14.606,96",8332.06,168.72,74.31,37.2,33.77,52.94,786.08,78.23,736.8,180.11,25.99,0.718578194,,,,,,,,,,,,,7.15,
29.05.2021,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,
30.05.2021,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,
31.05.2021,,,,,,,74.05,37.2,33.73,53.1,793.23,78.5,719.31,179.15,25.85,,,,,,,,,,,,,,,
01.06.2021,"2.049,37","1.784,09","2.491,51","14.858,15",8361.53,167.77,75.58,37.2,30.76,53.45,768.52,65.93,511.54,86.15,8.55,0.744974944,,2.41,1.91,2.14,2.32,2.91,2.48,1.04,0.98,1.13,1.47,,7.14,
02.06.2021,"1.997,34","1.825,04","2.506,94","14.849,12",8285.22,167.84,74.08,37.2,,,,,,,,0.739109,,,,,,,,,,,,,7.12,
03.06.2021,"1.986,22","1.808,85","2.455,37","14.730,14",8340.01,171.53,73.25,37.2,,,,,,,,0.736176028,,,,,,,,,,,,,7.12,
04.06.2021,"2.007,11","1.764,95","2.449,15","14.729,40",8096.98,169.54,73.46,37.2,36.07,49.91,733.62,76.73,840.13,179.23,13.33,0.747907917,,,,,,,,,,,,,6.98,
05.06.2021,,,,,,,,37.2,35.71,51.09,781.59,82.52,832.69,186.87,14.83,,,,,,,,,,,,,,,
06.06.2021,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,
07.06.2021,"1.989,62","1.758,96","2.430,59","14.455,61",8077.11,166.01,74.37,37.2,32.28,52,773.08,80.97,560.09,173.63,23.71,0.739109,,,,,,,,,,,,,6.95,
08.06.2021,"1.997,49","1.762,99","2.463,63","14.646,13",8115.42,170.75,75.97,37.2,29,51.03,712.39,76.13,577.02,166.07,23.83,0.753773861,,,,,,,,,,,,,6.97,
09.06.2021,"2.018,60","1.792,28","2.460,18","14.851,40",8109.41,172.57,76.53,37.2,29.96,52.43,724.79,69.1,518.39,155.1,21.73,0.753773861,,,,,,,,,,,,,6.96,
10.06.2021,"2.020,86","1.781,06","2.435,71","14.607,58",8056.59,174.06,77.32,37.2,29.42,51.88,674.75,54.93,431,146.54,20.52,0.759639806,,,,,,,,,,,,,6.92,
11.06.2021,"2.031,97","1.815,35","2.486,97","15.117,50",8284.19,176.05,76.62,37.2,,,,,,,,0.800701417,,,,,,,,,,,,,7.08,
12.06.2021,,,,,,,,37.2,28.61,53.64,680.51,53.47,456.71,127.76,18.65,,,,,,,,,,,,,,,
13.06.2021,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,
14.06.2021,"2.057,67","1.803,56","2.498,21","15.078,59",8213.36,176.60,77.79,37.2,33.56,52.38,792.84,77.01,697.31,172.28,23.87,0.809500333,1145,,,,,,,,,,,,7.03,
15.06.2021,"2.032,53","1.787,11","2.462,22","14.766,05",7876.08,176.41,76.24,37.2,33.13,52.38,793.41,76.74,697.31,172.28,23.15,0.783103583,,,,,,,,,,,,,6.83,
16.06.2021,"2.043,65","1.801,81","2.512,07","14.577,90",7927.63,178.04,76.79,37.2,33.01,52.21,793.69,78.11,697.31,172.28,23.15,0.794835472,,,,,,,,,,,,,6.8,
17.06.2021,"1.983,16","1.800,81","2.487,51","14.517,36",7916.45,180.28,76.13,37.2,31.97,51.08,766.43,74.4,646.73,175.24,23.54,0.800701417,,,,,,,,,,,,,6.87,
18.06.2021,"2.010,41","1.796,00","2.421,92","14.600,63",7760.42,180.58,77.05,37.2,31.12,50.73,763.85,72.46,605.26,175.32,23.55,0.794835472,,,,,,,,,,,,,6.73,
19.06.2021,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,
20.06.2021,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,
21.06.2021,"1.990,18","1.814,83","2.376,14","14.523,64",7586.94,178.50,78.05,37.2,30.12,50.73,749.33,72.46,577.43,175.32,23.55,0.786036556,,,,,,,,,,,,,6.63,
22.06.2021,"2.016,35","1.813,42","2.379,10","14.823,10",7696.27,178.75,78.73,37.2,31,50.92,752.87,72.95,577.91,175.46,23.58,0.800701417,,,,,,,,,,,,,6.71,
23.06.2021,"2.041,22","1.823,86","2.379,28","14.979,04",7787.98,179.24,80.21,37.2,31.28,50.72,751.97,74.12,561.15,174.59,23.46,0.81829925,,,,,,,,,,,,,6.75,
24.06.2021,"2.036,75","1.842,60","2.427,19","15.246,20",7870.34,179.15,80.81,37.2,31.81,50.84,754.5,74.65,556.09,172.39,23.54,0.841763028,,,,,,,,,,,,,6.82,
25.06.2021,"2.082,74","1.857,90","2.409,91","15.593,82",7902.89,179.44,80.79,37.2,32.04,50.78,761.93,74.81,555.16,172.1,23.5,0.859360861,,,,,,,,,,,,,6.83,
26.06.2021,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,
27.06.2021,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,
28.06.2021,"2.085,05","1.870,28","2.417,41","15.394,10",7826.35,180.50,81.13,37.2,32.27,50.88,760.95,75.84,577.43,172.54,23.55,0.891623556,1191,,,,,,,,,,,,6.8,
29.06.2021,"2.144,21","1.945,75","2.457,12","15.306,53",7752.72,180.14,82.37,37.2,31.31,50.31,750.27,75.78,606.02,172.75,23.59,0.894556528,,,,,,,,,,,,,6.77,
30.06.2021,"2.112,58","1.956,06","2.483,98","15.357,56",7914.49,180.93,83.55,37.2,31.11,50.61,756.86,77.42,607.81,173.26,23.66,0.903355444,,,,,,,,,,,,,6.86,
01.07.2021,"2.119,74","1.891,90","2.465,51","15.258,43",7883.21,180.24,85.53,37.2,31.11,53.3,767.42,66.2,513.62,94.62,8.58,0.906288417,,2.28,1.98,2.08,2.42,2.83,2.25,0.93,0.72,0.91,0.96,,6.85,
02.07.2021,"2.143,37","1.932,17","2.457,97","15.286,29",7833.58,179.03,85.41,37.2,,,,,,,,0.915087333,,,,,,,,,,,,,6.84,
03.07.2021,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,
04.07.2021,,,,,,,,37.2,36.03,49.61,724.1,74.94,835.9,178.32,13.27,,,,,,,,,,,,,,,
05.07.2021,"2.154,29","1.963,50","2.476,40","15.483,82",7950.11,,86.65,37.2,36.13,51.66,785.5,81.22,815.56,186.1,14.77,,,,,,,,,,,,,,6.9,
06.07.2021,"2.139,99","1.962,78","2.494,82","15.682,81",7850.19,184.04,84.52,37.2,33.42,52.9,789.38,78.82,640.51,179.89,24.51,0.903355444,,,,,,,,,,,,,6.97,
07.07.2021,"2.128,11","1.955,57","2.496,08","15.523,34",8013.35,184.93,83.38,37.2,32.04,51.78,770.15,81.12,543.28,173.63,23.71,0.894556528,,,,,,,,,,,,,6.94,
08.07.2021,"2.071,55","1.927,19","2.458,32","15.347,60",7820.94,182.62,82.36,37.2,,,,,,,,0.915087333,,,,,,,,,,,,,6.82,
09.07.2021,"2.107,97","1.972,55","2.488,32","15.723,97",7947.03,181.70,84.33,37.2,29.64,51.51,709.6,68.05,517.95,150.78,21.71,0.906288417,,,,,,,,,,,,,6.92,
10.07.2021,,,,,,,,37.2,29.66,52.01,680.77,56.25,441.54,146.22,20.48,,,,,,,,,,,,,,,
11.07.2021,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,
12.07.2021,"2.098,63","1.951,53","2.461,24","15.651,00",7879.58,183.21,83.25,37.2,29.48,53.78,686.62,56.53,458.74,128.33,18.74,0.926819222,1176,,,,,,,,,,,,6.86,
13.07.2021,"2.146,81","1.954,50","2.478,25","15.945,84",7903.06,185.27,83.35,37.2,32.63,52.03,763,81.29,592.15,174,23.76,0.920953278,,,,,,,,,,,,,6.84,
14.07.2021,"2.138,16","1.943,82","2.472,95","15.787,96",7864.12,184.11,83.21,37.2,33.23,52.54,770.81,80.62,591.4,173.77,23.73,0.906288417,,,,,,,,,,,,,6.86,
15.07.2021,"2.132,58","1.955,64","2.482,64","15.828,82",7989.16,185.13,82.82,37.2,33.27,52.57,768.86,79.45,592.15,174,23.76,0.8974895,,,,,,,,,,,,,6.88,
16.07.2021,"2.124,34","1.970,86","2.512,73","16.007,45",7960.23,186.17,83.27,37.2,32.83,52.43,765.93,75.91,583.72,174,23.76,0.912154361,,,,,,,,,,,,,6.91,
17.07.2021,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,
18.07.2021,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,
19.07.2021,"2.061,65","1.930,85","2.489,05","15.988,31",7851.07,186.01,83.31,37.2,32,52.29,742.61,74.51,570.91,168.74,23.81,0.938551111,,,,,,,,,,,,,6.86,
20.07.2021,"2.083,50","1.968,85","2.497,22","15.759,32",7895.71,186.16,81.72,37.2,31.6,52.42,738.2,74.93,570.91,168.74,23.81,0.964947861,,,,,,,,,,,,,6.83,
21.07.2021,"2.081,80","1.984,74","2.477,22","15.581,27",7858.74,185.10,83.03,37.2,31.69,52.25,739.77,76.22,572.12,169.1,23.86,0.985478667,,,,,,,,,,,,,6.87,
22.07.2021,"2.091,80","2.027,53","2.480,99","16.031,60",7971.21,181.65,81.65,37.2,31.75,51.95,737.58,76.86,564.8,168.6,23.78,0.997210556,,,,,,,,,,,,,6.92,
23.07.2021,"2.120,82","2.052,24","2.500,74","16.366,53",8013.04,183.50,82.32,37.2,31.05,51.92,737.68,77.3,566.01,168.95,23.84,1.011875417,,,,,,,,,,,,,6.97,
24.07.2021,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,
25.07.2021,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,
26.07.2021,"2.136,42","2.053,70","2.495,45","16.503,32",8114.86,182.25,84.12,37.2,31.48,52.22,744.07,77.2,565.27,168.74,23.81,1.017741361,1144,,,,,,,,,,,,7.04,
27.07.2021,"2.115,75","2.017,85","2.512,21","16.388,71",8215.21,181.91,84.58,37.2,30.95,51.88,727.85,75.06,558.47,165.57,23.76,0.985478667,,,,,,,,,,,,,7.1,
28.07.2021,"2.133,05","2.000,84","2.491,96","16.535,65",8187.74,181.06,85.76,37.2,30.93,51.95,725.85,74.72,559.18,165.79,23.78,1.000143528,,,,,,,,,,,,,7.09,
29.07.2021,"2.172,20","2.015,14","2.510,09","16.626,58",8226.24,179.58,87.01,37.2,31.33,52.21,743.63,75.85,554.94,164.53,23.61,1.000143528,,,,,,,,,,,,,7.12,
30.07.2021,"2.182,28","2.042,13","2.560,62","16.468,11",8173.27,178.61,86.63,37.2,30.47,52.18,740.72,75.57,554.94,164.53,23.61,0.964947861,,,,,,,,,,,,,7.11,
31.07.2021,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,
01.08.2021,,,,,,,,37.2,30.67,51.88,736.47,65.23,514.67,94.81,8.6,,,2.39,2.13,2.44,2.31,2.55,2.16,0.92,0.7,0.88,0.85,,,
02.08.2021,"2.202,91","2.059,33","2.562,63","16.612,07",8147.33,152.60,88.86,37.2,33.47,51.79,790.19,65.49,618.33,131.91,11.05,0.973746778,,,,,,,,,,,,,7.11,
03.08.2021,"2.179,98","2.052,69","2.504,11","16.289,99",8026.43,152.59,88.34,37.2,33.54,48.48,735.83,66.36,832.06,167.53,12.26,0.997210556,,,,,,,,,,,,,7,
04.08.2021,"2.165,16","2.085,74","2.504,41","16.429,14",7977.71,154.18,88.58,37.2,35.8,50.14,743.01,75.22,835.9,178.32,13.27,1.02947325,,,,,,,,,,,,,6.98,
05.08.2021,"2.186,84","2.062,66","2.522,08","16.291,88",8003.85,145.27,89.03,37.2,,,,,,,,1.026540278,,,,,,,,,,,,,6.94,
06.08.2021,"2.208,86","2.007,82","2.555,25","16.604,05",8029.45,146.22,91.24,37.2,32.95,52.66,782.08,77.43,625.58,179.52,23.75,1.032406222,,,,,,,,,,,,,7.04,
07.08.2021,,,,,,,,37.2,31.39,51.81,759.78,80.25,530.97,173.26,23.66,,,,,,,,,,,,,,,
08.08.2021,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,
09.08.2021,"2.170,35","1.955,70","2.519,28","15.972,74",7933.33,147.83,91.48,37.2,29.01,51.51,706.16,66.02,508.49,151.29,21.79,1.014808389,1159,,,,,,,,,,,,6.93,
10.08.2021,"2.196,75","1.978,58","2.541,27","15.970,31",8028.24,143.84,92.91,37.2,30.98,51.92,687.36,59.95,440.96,146.03,20.46,1.023607306,,,,,,,,,,,,,7.02,
11.08.2021,"2.202,19","2.001,87","2.570,80","16.083,98",8075.84,143.99,94.11,37.2,31.32,53.45,725.66,59.87,451.57,131.89,18.97,1.014808389,,,,,,,,,,,,,7.04,
12.08.2021,"2.201,21","2.037,25","2.571,28","16.656,01",8042.96,143.15,96.09,37.2,29.5,53.94,689.71,55.63,456.71,127.76,18.65,0.982545694,,,,,,,,,,,,,7.08,
13.08.2021,"2.203,54","2.075,26","2.548,63","16.655,51",8087.77,142.35,94.75,37.2,30.32,51.09,692.71,76.09,577.76,163.46,23.12,0.959081917,,,,,,,,,,,,,7.02,
14.08.2021,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,
15.08.2021,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,
16.08.2021,"2.211,84","2.054,17","2.567,47","16.559,83",7997.07,141.75,97.31,37.2,29.97,51.18,692.12,75.43,576.04,162.98,23.04,0.982545694,,,,,,,,,,,,,6.99,
17.08.2021,"2.219,80","2.073,22","2.563,94","16.626,10",7878.91,142.90,97.82,37.2,30.13,51.84,700.08,73.39,578.98,160.99,22.42,0.962014889,,,,,,,,,,,,,6.97,
18.08.2021,"2.181,74","2.138,07","2.559,88","16.239,59",7811.68,136.27,97.25,37.2,29.71,51.83,694.78,71.17,579.48,161.12,22.43,0.964947861,,,,,,,,,,,,,6.88,
19.08.2021,"2.174,04","2.132,98","2.517,15","15.820,52",7615.58,137.33,92.85,37.2,29.02,51.95,689.76,68.55,570.32,161.33,22.46,0.962014889,,,,,,,,,,,,,6.7,
20.08.2021,"2.193,33","2.092,28","2.520,54","15.872,98",7730.78,137.23,92.39,37.2,29.22,52,689.17,66.98,551.69,161.68,22.51,0.964947861,,,,,,,,,,,,,6.8,
21.08.2021,,,,,,,,37.2,,,,,,,,,,,,,,,,,,,,,,
